episodes,scores,steps_survived
1.0,120.0,590.0
2.0,230.0,722.0
3.0,80.0,562.0
4.0,150.0,692.0
5.0,265.0,639.0
6.0,190.0,952.0
7.0,160.0,768.0
8.0,210.0,938.0
9.0,115.0,648.0
10.0,325.0,1015.0
11.0,370.0,915.0
12.0,125.0,1133.0
13.0,325.0,1033.0
14.0,70.0,372.0
15.0,10.0,538.0
16.0,360.0,1113.0
17.0,30.0,594.0
18.0,90.0,515.0
19.0,440.0,1264.0
20.0,320.0,1313.0
21.0,200.0,703.0
22.0,370.0,1415.0
23.0,30.0,309.0
24.0,255.0,1058.0
