episode,score,steps_survived
0.0,0.0,0.0
1.0,275.0,683.0
2.0,360.0,903.0
3.0,140.0,685.0
4.0,105.0,446.0
5.0,5.0,502.0
6.0,80.0,471.0
7.0,185.0,492.0
8.0,155.0,825.0
9.0,135.0,517.0
10.0,285.0,598.0
11.0,90.0,336.0
12.0,280.0,539.0
13.0,290.0,771.0
14.0,270.0,538.0
15.0,270.0,538.0
16.0,270.0,538.0
17.0,270.0,538.0
18.0,270.0,538.0
19.0,270.0,538.0
20.0,270.0,538.0
21.0,270.0,538.0
22.0,270.0,538.0
23.0,270.0,538.0
24.0,270.0,538.0
25.0,270.0,538.0
26.0,270.0,538.0
27.0,270.0,538.0
28.0,270.0,538.0
29.0,270.0,538.0
30.0,270.0,538.0
31.0,270.0,538.0
32.0,270.0,538.0
33.0,270.0,538.0
34.0,270.0,538.0
35.0,270.0,538.0
